,Zip,City,Latitude,Longitude,Cluster Labels20,Cluster Labels10,Cluster Labels5,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
125,77289,Houston,29.83399,-95.434241,0,1,0,Pizza Place,Spa,Gas Station,Bank,Park,Salon / Barbershop,Intersection,Discount Store,Mexican Restaurant,Supermarket
127,77216,Houston,29.83399,-95.434241,0,1,0,Pizza Place,Spa,Gas Station,Bank,Park,Salon / Barbershop,Intersection,Discount Store,Mexican Restaurant,Supermarket
130,77217,Houston,29.83399,-95.434241,0,1,0,Pizza Place,Spa,Gas Station,Bank,Park,Salon / Barbershop,Intersection,Discount Store,Mexican Restaurant,Supermarket
131,77263,Houston,29.83399,-95.434241,0,1,0,Pizza Place,Spa,Gas Station,Bank,Park,Salon / Barbershop,Intersection,Discount Store,Mexican Restaurant,Supermarket
137,77293,Houston,29.83399,-95.434241,0,1,0,Pizza Place,Spa,Gas Station,Bank,Park,Salon / Barbershop,Intersection,Discount Store,Mexican Restaurant,Supermarket
144,77203,Houston,29.83399,-95.434241,0,1,0,Pizza Place,Spa,Gas Station,Bank,Park,Salon / Barbershop,Intersection,Discount Store,Mexican Restaurant,Supermarket
146,77212,Houston,29.83399,-95.434241,0,1,0,Pizza Place,Spa,Gas Station,Bank,Park,Salon / Barbershop,Intersection,Discount Store,Mexican Restaurant,Supermarket
147,77291,Houston,29.83399,-95.434241,0,1,0,Pizza Place,Spa,Gas Station,Bank,Park,Salon / Barbershop,Intersection,Discount Store,Mexican Restaurant,Supermarket
148,77275,Houston,29.83399,-95.434241,0,1,0,Pizza Place,Spa,Gas Station,Bank,Park,Salon / Barbershop,Intersection,Discount Store,Mexican Restaurant,Supermarket
149,77253,Houston,29.83399,-95.434241,0,1,0,Pizza Place,Spa,Gas Station,Bank,Park,Salon / Barbershop,Intersection,Discount Store,Mexican Restaurant,Supermarket
150,77228,Houston,29.83399,-95.434241,0,1,0,Pizza Place,Spa,Gas Station,Bank,Park,Salon / Barbershop,Intersection,Discount Store,Mexican Restaurant,Supermarket
151,77255,Houston,29.83399,-95.434241,0,1,0,Pizza Place,Spa,Gas Station,Bank,Park,Salon / Barbershop,Intersection,Discount Store,Mexican Restaurant,Supermarket
153,77208,Houston,29.83399,-95.434241,0,1,0,Pizza Place,Spa,Gas Station,Bank,Park,Salon / Barbershop,Intersection,Discount Store,Mexican Restaurant,Supermarket
155,77241,Houston,29.83399,-95.434241,0,1,0,Pizza Place,Spa,Gas Station,Bank,Park,Salon / Barbershop,Intersection,Discount Store,Mexican Restaurant,Supermarket
